Actuals,Predicteds
1.0,1.24946048577
1.0,1.41761783966
1.0,1.14416175022
1.0,1.32600534645
1.0,1.38725423936
1.0,1.28637580919
1.0,1.14260559418
1.0,1.30510968725
1.0,1.34352553137
1.0,1.23870000667
1.0,1.36266231134
1.0,1.15730605785
3.0,1.42218930532
1.0,1.14236733512
2.0,1.21528198021
1.0,1.1994167421
1.0,1.27870995306
4.0,1.42582820691
1.0,1.22408636949
1.0,1.22163513657
1.0,1.27078099596
1.0,1.37723786746
1.0,1.19064395728
2.0,1.32891466873
4.0,1.39458424958
1.0,1.35647839118
1.0,1.34822536544
1.0,1.15775745282
1.0,1.27303563648
2.0,1.29887871928
1.0,1.27269815853
15.0,1.30174036812
2.0,1.43890732454
1.0,1.15850497745
1.0,1.35257630742
1.0,1.35067431917
1.0,1.42785359196
1.0,1.16767890276
1.0,1.21996481747
1.0,1.27427730167
2.0,1.3370527241
2.0,1.39907074582
1.0,1.28524058002
1.0,1.2684184811
1.0,1.26084974621
1.0,1.28451590537
1.0,1.3973758009
1.0,1.40558168337
1.0,1.36172231616
1.0,1.2699611609
1.0,1.4495062812
1.0,1.20336001708
1.0,1.17740166048
1.0,1.15361486184
1.0,1.40329900905
1.0,1.37836528262
1.0,1.13022249451
5.0,1.44841558475
1.0,1.10098422435
1.0,1.12856118594
1.0,1.3083188147
1.0,1.40719336551
1.0,1.21709999863
1.0,1.31545617117
1.0,1.37399686334
1.0,1.22623606467
1.0,1.43699234095
1.0,1.38943754057
1.0,1.15195253514
1.0,1.2452701159
1.0,1.22616943094
1.0,1.27803874671
1.0,1.44046038206
2.0,1.25726446614
3.0,1.32548861637
1.0,1.26260874675
1.0,1.41656900916
1.0,1.20944594995
1.0,1.35876184251
1.0,1.17362947811
2.0,1.18813428289
1.0,1.26848422458
1.0,1.06461477646
1.0,1.19446707376
1.0,1.20080218624
2.0,1.34175714913
1.0,1.21869766843
1.0,1.44200168713
1.0,1.12916041081
1.0,1.22881597093
1.0,1.2569525684
1.0,1.09766065949
1.0,1.25272897421
1.0,1.24926169099
1.0,1.37757318156
1.0,1.19313619075
2.0,1.40116849012
1.0,1.38558314753
1.0,1.16266699281
1.0,1.37816037822
1.0,1.20920905509
2.0,1.38225347834
1.0,1.14640473019
1.0,1.29079097371
1.0,1.25447179873
3.0,1.39936601691
1.0,1.30980980602
1.0,1.39765705669
1.0,1.41830598423
1.0,1.22753727486
2.0,1.30326304921
1.0,1.33145406596
1.0,1.28932623232
1.0,1.22323986181
1.0,1.31632883784
2.0,1.37821355611
1.0,1.42409484906
2.0,1.38333637409
1.0,1.2974825064
1.0,1.41124481978
1.0,1.25642602386
1.0,1.21541683449
1.0,1.14330340796
2.0,1.4161746841
1.0,1.25510511745
1.0,1.38742151242
1.0,1.38144111094
1.0,1.24755792555
1.0,1.35101843675
1.0,1.25637548894
1.0,1.39891757173
1.0,1.23927311036
1.0,1.18638023524
1.0,1.26033642642
1.0,1.36469371346
2.0,1.20188238343
1.0,1.41275408355
1.0,1.20945754524
1.0,1.37916644091
1.0,1.07775717404
1.0,1.21062167099
2.0,1.32317348655
1.0,1.23905241379
1.0,1.26083383273
2.0,1.05576898943
1.0,1.23797620225
2.0,1.16443085254
2.0,1.40298120927
1.0,1.13764210361
2.0,1.27709818667
1.0,1.33599210111
1.0,1.15095319905
1.0,1.33126418874
